"","logFC","AveExpr","t","P.Value","adj.P.Val","B","ensembl_id"
"ENSG00000130513",2.27080370671062,5.53904880071444,5.82784437746923,6.76695735567632e-06,4.77978591099572e-05,3.48483662658141,"ENSG00000130513"
"ENSG00000115204",0.947007760867504,2.1109084097883,5.82723883753556,6.77670769578524e-06,4.78309766547488e-05,3.48338957600184,"ENSG00000115204"
"ENSG00000198478",-0.935138737949551,4.22543673581486,-5.82707251072486,6.77938837601698e-06,4.78309766547488e-05,3.48299210127909,"ENSG00000198478"
"ENSG00000105993",0.667965381926448,2.42057561192699,5.8269134552604,6.78195287433372e-06,4.78309766547488e-05,3.48261200071145,"ENSG00000105993"
"ENSG00000203760",1.52794658769454,4.43457803290978,5.82039947355832,6.88783278087347e-06,4.85531179621876e-05,3.46704334479978,"ENSG00000203760"
"ENSG00000234771",-0.933849900410603,2.29822022434515,-5.81675923887249,6.94773363907856e-06,4.89505808316051e-05,3.45834138700021,"ENSG00000234771"
"ENSG00000164099",-1.08690367047058,1.48563355373747,-5.81653341322485,6.95146707579282e-06,4.89521115979705e-05,3.45780151302854,"ENSG00000164099"
"ENSG00000149554",1.09148743539116,1.2976726706176,5.81388341238207,6.99543084042652e-06,4.92367988677543e-05,3.45146590113242,"ENSG00000149554"
"ENSG00000100060",-0.954160546870206,2.28840140764425,-5.81136993046379,7.03739133018441e-06,4.95071056588314e-05,3.44545609673485,"ENSG00000100060"
"ENSG00000173207",1.28201780646365,4.24770775175271,5.81097865560374,7.04394635101532e-06,4.95100026432424e-05,3.44452049691931,"ENSG00000173207"
"ENSG00000163875",0.644718673386323,3.18092363788184,5.81092083067134,7.04491561817721e-06,4.95100026432424e-05,3.44438222723709,"ENSG00000163875"
"ENSG00000137269",-0.752640713352951,2.76647845449995,-5.8103543916809,7.05441750687651e-06,4.95517661608147e-05,3.44302775520711,"ENSG00000137269"
"ENSG00000087842",1.08820645328121,1.98411120142627,5.80947436339406,7.06920567635909e-06,4.96306008201065e-05,3.44092336981966,"ENSG00000087842"
"ENSG00000100014",-1.02168738360035,2.122754307296,-5.80863894965373,7.08327333612674e-06,4.97043000935265e-05,3.43892560582699,"ENSG00000100014"
"ENSG00000260401",-0.989595937717132,0.695947664784961,-5.80827577042053,7.08939785197342e-06,4.9722215060541e-05,3.43805709887787,"ENSG00000260401"
"ENSG00000140471",-0.641516070765624,-0.00506702173271598,-5.80325666207619,7.17459239618902e-06,5.02943984590853e-05,3.42605319614618,"ENSG00000140471"
